date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,quarter,week_of_year,day_of_week,is_weekend
2011-01-29,11101,Saturday,1,1,2011,d_1,No_Event,No_Event,No_Event,No_Event,0,0,0,1,4,5,1
2011-01-30,11101,Sunday,2,1,2011,d_2,No_Event,No_Event,No_Event,No_Event,0,0,0,1,4,6,1
2011-01-31,11101,Monday,3,1,2011,d_3,No_Event,No_Event,No_Event,No_Event,0,0,0,1,5,0,0
2011-02-01,11101,Tuesday,4,2,2011,d_4,No_Event,No_Event,No_Event,No_Event,1,1,0,1,5,1,0
2011-02-02,11101,Wednesday,5,2,2011,d_5,No_Event,No_Event,No_Event,No_Event,1,0,1,1,5,2,0
2011-02-03,11101,Thursday,6,2,2011,d_6,No_Event,No_Event,No_Event,No_Event,1,1,1,1,5,3,0
2011-02-04,11101,Friday,7,2,2011,d_7,No_Event,No_Event,No_Event,No_Event,1,0,0,1,5,4,0
2011-02-05,11102,Saturday,1,2,2011,d_8,No_Event,No_Event,No_Event,No_Event,1,1,1,1,5,5,1
2011-02-06,11102,Sunday,2,2,2011,d_9,SuperBowl,Sporting,No_Event,No_Event,1,1,1,1,5,6,1
2011-02-07,11102,Monday,3,2,2011,d_10,No_Event,No_Event,No_Event,No_Event,1,1,0,1,6,0,0
2011-02-08,11102,Tuesday,4,2,2011,d_11,No_Event,No_Event,No_Event,No_Event,1,0,1,1,6,1,0
2011-02-09,11102,Wednesday,5,2,2011,d_12,No_Event,No_Event,No_Event,No_Event,1,1,1,1,6,2,0
2011-02-10,11102,Thursday,6,2,2011,d_13,No_Event,No_Event,No_Event,No_Event,1,0,0,1,6,3,0
2011-02-11,11102,Friday,7,2,2011,d_14,No_Event,No_Event,No_Event,No_Event,0,1,1,1,6,4,0
2011-02-12,11103,Saturday,1,2,2011,d_15,No_Event,No_Event,No_Event,No_Event,0,1,1,1,6,5,1
2011-02-13,11103,Sunday,2,2,2011,d_16,No_Event,No_Event,No_Event,No_Event,0,1,0,1,6,6,1
2011-02-14,11103,Monday,3,2,2011,d_17,ValentinesDay,Cultural,No_Event,No_Event,0,0,1,1,7,0,0
2011-02-15,11103,Tuesday,4,2,2011,d_18,No_Event,No_Event,No_Event,No_Event,0,1,1,1,7,1,0
2011-02-16,11103,Wednesday,5,2,2011,d_19,No_Event,No_Event,No_Event,No_Event,0,0,0,1,7,2,0
2011-02-17,11103,Thursday,6,2,2011,d_20,No_Event,No_Event,No_Event,No_Event,0,0,0,1,7,3,0
2011-02-18,11103,Friday,7,2,2011,d_21,No_Event,No_Event,No_Event,No_Event,0,0,0,1,7,4,0
2011-02-19,11104,Saturday,1,2,2011,d_22,No_Event,No_Event,No_Event,No_Event,0,0,0,1,7,5,1
2011-02-20,11104,Sunday,2,2,2011,d_23,No_Event,No_Event,No_Event,No_Event,0,0,0,1,7,6,1
2011-02-21,11104,Monday,3,2,2011,d_24,PresidentsDay,National,No_Event,No_Event,0,0,0,1,8,0,0
2011-02-22,11104,Tuesday,4,2,2011,d_25,No_Event,No_Event,No_Event,No_Event,0,0,0,1,8,1,0
2011-02-23,11104,Wednesday,5,2,2011,d_26,No_Event,No_Event,No_Event,No_Event,0,0,0,1,8,2,0
2011-02-24,11104,Thursday,6,2,2011,d_27,No_Event,No_Event,No_Event,No_Event,0,0,0,1,8,3,0
2011-02-25,11104,Friday,7,2,2011,d_28,No_Event,No_Event,No_Event,No_Event,0,0,0,1,8,4,0
2011-02-26,11105,Saturday,1,2,2011,d_29,No_Event,No_Event,No_Event,No_Event,0,0,0,1,8,5,1
2011-02-27,11105,Sunday,2,2,2011,d_30,No_Event,No_Event,No_Event,No_Event,0,0,0,1,8,6,1
2011-02-28,11105,Monday,3,2,2011,d_31,No_Event,No_Event,No_Event,No_Event,0,0,0,1,9,0,0
2011-03-01,11105,Tuesday,4,3,2011,d_32,No_Event,No_Event,No_Event,No_Event,1,1,0,1,9,1,0
2011-03-02,11105,Wednesday,5,3,2011,d_33,No_Event,No_Event,No_Event,No_Event,1,0,1,1,9,2,0
2011-03-03,11105,Thursday,6,3,2011,d_34,No_Event,No_Event,No_Event,No_Event,1,1,1,1,9,3,0
2011-03-04,11105,Friday,7,3,2011,d_35,No_Event,No_Event,No_Event,No_Event,1,0,0,1,9,4,0
2011-03-05,11106,Saturday,1,3,2011,d_36,No_Event,No_Event,No_Event,No_Event,1,1,1,1,9,5,1
2011-03-06,11106,Sunday,2,3,2011,d_37,No_Event,No_Event,No_Event,No_Event,1,1,1,1,9,6,1
2011-03-07,11106,Monday,3,3,2011,d_38,No_Event,No_Event,No_Event,No_Event,1,1,0,1,10,0,0
2011-03-08,11106,Tuesday,4,3,2011,d_39,No_Event,No_Event,No_Event,No_Event,1,0,1,1,10,1,0
2011-03-09,11106,Wednesday,5,3,2011,d_40,LentStart,Religious,No_Event,No_Event,1,1,1,1,10,2,0
2011-03-10,11106,Thursday,6,3,2011,d_41,No_Event,No_Event,No_Event,No_Event,1,0,0,1,10,3,0
2011-03-11,11106,Friday,7,3,2011,d_42,No_Event,No_Event,No_Event,No_Event,0,1,1,1,10,4,0
2011-03-12,11107,Saturday,1,3,2011,d_43,No_Event,No_Event,No_Event,No_Event,0,1,1,1,10,5,1
