product_category,total_sales,total_profit,total_orders,late_delivery_rate,average_shipping_delay
Fishing,6226935.290565399,756220.767189502,15164,54.93,0.5551515151515152
Cleats,3982856.502617,494636.919790561,20386,54.97,0.5769622418638752
Camping & Hiking,3700783.6284585,427455.568105731,12299,54.53,0.5513875737489985
Cardio Equipment,3320250.69863897,383011.098484708,11355,54.5,0.5543365099703692
Women's Apparel,2828708.5,350421.02956735,17869,54.56,0.5595436177798907
Water Sports,2798044.184858,325146.96003752,13758,54.81,0.5673101673101673
Men's Footwear,2598494.42070502,311902.820213578,18783,54.49,0.5641913152926369
Indoor/Outdoor Games,2596454.01613738,318451.430554194,16623,54.75,0.5647217328220541
Shop By Sport,1177185.6271800501,129813.96031482199,10136,55.15,0.5752913328477786
Computers,595395.0,69656.81017112,442,50.68,0.45475113122171945
Electronics,333327.2607972,40891.379917647,3061,56.08,0.5719264892268695
Cameras ,240496.6790167,30289.799945644998,592,58.11,0.6452702702702703
Garden,231765.4602916,33443.010106141,484,55.79,0.5495867768595041
Children's Clothing,209268.38055539998,27178.099596873,652,53.37,0.5797546012269938
Crafts,200704.8703333,25531.17006045,484,55.99,0.6342975206611571
Girls' Apparel,136206.83021776,17288.569972693,1191,55.29,0.585345545378851
Women's Clothing,126006.9303264,19102.849930084,650,56.46,0.6523076923076923
Accessories,119712.54948536,16643.520073949,1753,56.97,0.5893258426966292
Sporting Goods,105063.6115112,12518.610118848,357,55.46,0.6190476190476191
Golf Gloves,104787.400320521,12975.490078118,1064,56.26,0.6158878504672897
Music,101687.28986620001,14436.31992285,434,57.14,0.5737327188940092
Consumer Electronics,97937.5598153,13223.399925575,431,55.22,0.6380510440835266
Golf Shoes,96506.4699898,12406.070142829,523,55.53,0.5782442748091603
Health and Beauty,95358.1102879,9493.629974264,362,55.8,0.5331491712707183
Kids' Golf Clubs,89473.69946238,9045.839895538,373,53.39,0.6197916666666666
Baseball & Softball,84367.27085249001,12762.130067433,628,55.22,0.5838607594936709
Boxing & MMA,76286.71994106,8641.370006251,421,56.26,0.6666666666666666
DVDs,71319.3796864,6655.430088233999,483,53.62,0.5300207039337475
Golf Balls,69341.24954266,8342.670023919,1444,54.58,0.5477966101694915
Trade-In,61667.54046302,7915.369984928,964,55.65,0.6314168377823408
Hunting & Shooting,50878.9100799,5979.9999452990005,436,56.14,0.5613636363636364
Strength Training,48813.8395335,332.31009052699983,111,57.66,0.6666666666666666
Hockey,43618.36004757,5397.430012878,609,53.58,0.46905537459283386
Men's Golf Clubs,42382.78980129,5517.989977266,280,47.7,0.3250883392226148
Tennis & Racquet,40077.81034646,5747.979996385,327,55.79,0.649390243902439
Women's Golf Clubs,39984.38980097,5028.639929453,181,53.59,0.5580110497237569
Men's Clothing,39365.7099925,2006.039969416,208,54.33,0.5144230769230769
Pet Supplies,37318.29984653,3589.259958614,492,58.94,0.709349593495935
Lacrosse,35415.92979094,4364.289984193,341,60.06,0.6588921282798834
Fitness Accessories,31751.36004609,5258.390016192,307,56.96,0.6148867313915858
Golf Apparel,31447.4397102,3496.309982897,440,51.93,0.47392290249433106
Video Games,29919.19986883,2717.519996736,838,54.3,0.5763723150357996
Basketball,24705.3296188,1845.670003454,64,55.22,0.47761194029850745
Soccer,23909.94973655,3901.949953447,136,54.35,0.717391304347826
As Seen on  TV!,18519.60993168,714.429979709,68,57.35,0.6617647058823529
Books ,11303.42003274,883.010007794,405,56.54,0.5333333333333333
Baby ,10957.40014276,1525.02999227,207,52.66,0.4444444444444444
Golf Bags & Carts,9403.7900006,1810.069992479,61,68.85,0.7704918032786885
Toys,5485.679967799,900.710000356,529,55.01,0.5519848771266541
CDs ,2750.0299979349998,383.849999637,271,52.03,0.4612546125461255
