item_id,predicted_28_day_demand,bias_adjusted_28_day_demand,actual_28_day_demand,forecast_rmse,forecast_daily_demand,safety_stock_units,reorder_point_units,recommended_28_day_stock_units,dept_id,cat_id,total_revenue
FOODS_3_090,1487.13,1579.69,1652,15.37,56.42,67.0,462.0,1647.0,FOODS_3,FOODS,175257.74
FOODS_3_586,1146.39,1217.75,1155,6.92,43.49,31.0,336.0,1249.0,FOODS_3,FOODS,141530.58
FOODS_3_252,1087.4,1155.08,1084,9.4,41.25,41.0,330.0,1197.0,FOODS_3,FOODS,115746.3
FOODS_3_587,569.87,605.34,639,9.64,21.62,42.0,194.0,648.0,FOODS_3,FOODS,132607.48
FOODS_3_714,525.24,557.93,537,7.03,19.93,31.0,171.0,589.0,FOODS_3,FOODS,82933.86
FOODS_2_197,496.75,527.66,614,8.53,18.85,38.0,170.0,566.0,FOODS_2,FOODS,133059.54
FOODS_3_555,483.39,513.47,575,5.0,18.34,22.0,151.0,536.0,FOODS_3,FOODS,61281.68
FOODS_3_080,475.8,505.42,528,5.64,18.05,25.0,152.0,531.0,FOODS_3,FOODS,62934.340000000004
FOODS_2_019,445.2,472.91,392,5.64,16.89,25.0,144.0,498.0,FOODS_2,FOODS,114867.28
FOODS_3_099,433.43,460.4,410,5.9,16.44,26.0,142.0,487.0,FOODS_3,FOODS,83910.46
FOODS_3_202,435.4,462.5,446,5.0,16.52,22.0,138.0,485.0,FOODS_3,FOODS,136388.8
FOODS_2_347,301.96,320.75,321,4.2,11.46,19.0,100.0,340.0,FOODS_2,FOODS,51103.73
FOODS_2_276,271.75,288.66,231,4.49,10.31,20.0,93.0,309.0,FOODS_2,FOODS,85153.95999999999
FOODS_3_516,216.49,229.97,262,4.15,8.21,19.0,77.0,249.0,FOODS_3,FOODS,52132.06
FOODS_3_473,197.18,209.46,203,3.36,7.48,15.0,68.0,225.0,FOODS_3,FOODS,65399.12
HOUSEHOLD_1_535,184.49,195.98,191,2.51,7.0,11.0,60.0,207.0,HOUSEHOLD_1,HOUSEHOLD,89801.48
FOODS_2_244,163.8,173.99,169,2.73,6.21,12.0,56.0,186.0,FOODS_2,FOODS,117365.84
HOBBIES_1_147,123.84,131.55,204,5.73,4.7,25.0,58.0,157.0,HOBBIES_1,HOBBIES,81765.14
FOODS_3_546,100.87,107.15,134,2.79,3.83,13.0,40.0,121.0,FOODS_3,FOODS,79052.20000000001
HOUSEHOLD_1_494,83.04,88.21,95,1.81,3.15,8.0,31.0,97.0,HOUSEHOLD_1,HOUSEHOLD,52665.76
