dataset,column_name,data_type,missing_values,missing_percent,unique_values
calendar,date,object,0,0.0,1969
calendar,wm_yr_wk,int64,0,0.0,282
calendar,weekday,object,0,0.0,7
calendar,wday,int64,0,0.0,7
calendar,month,int64,0,0.0,12
calendar,year,int64,0,0.0,6
calendar,d,object,0,0.0,1969
calendar,event_name_1,object,1807,91.77,30
calendar,event_type_1,object,1807,91.77,4
calendar,event_name_2,object,1964,99.75,4
calendar,event_type_2,object,1964,99.75,2
calendar,snap_CA,int64,0,0.0,2
calendar,snap_TX,int64,0,0.0,2
calendar,snap_WI,int64,0,0.0,2
sell_prices,store_id,object,0,0.0,10
sell_prices,item_id,object,0,0.0,3049
sell_prices,wm_yr_wk,int64,0,0.0,282
sell_prices,sell_price,float64,0,0.0,1048
m5_sales,id,object,0,0.0,30490
m5_sales,item_id,object,0,0.0,3049
m5_sales,dept_id,object,0,0.0,7
m5_sales,cat_id,object,0,0.0,3
m5_sales,store_id,object,0,0.0,10
m5_sales,state_id,object,0,0.0,3
m5_sales,d_1,int64,0,0.0,84
m5_sales,d_2,int64,0,0.0,82
m5_sales,d_3,int64,0,0.0,72
m5_sales,d_4,int64,0,0.0,79
m5_sales,d_5,int64,0,0.0,63
m5_sales,d_6,int64,0,0.0,84
m5_sales,d_7,int64,0,0.0,85
m5_sales,d_8,int64,0,0.0,100
m5_sales,d_9,int64,0,0.0,91
m5_sales,d_10,int64,0,0.0,73
m5_sales,d_11,int64,0,0.0,68
m5_sales,d_12,int64,0,0.0,69
m5_sales,d_13,int64,0,0.0,65
m5_sales,d_14,int64,0,0.0,68
m5_sales,d_15,int64,0,0.0,81
m5_sales,d_16,int64,0,0.0,82
m5_sales,d_17,int64,0,0.0,61
m5_sales,d_18,int64,0,0.0,67
m5_sales,d_19,int64,0,0.0,60
m5_sales,d_20,int64,0,0.0,52
m5_sales,d_21,int64,0,0.0,62
m5_sales,d_22,int64,0,0.0,75
m5_sales,d_23,int64,0,0.0,64
m5_sales,d_24,int64,0,0.0,60
m5_sales,d_25,int64,0,0.0,58
m5_sales,d_26,int64,0,0.0,54
m5_sales,d_27,int64,0,0.0,53
m5_sales,d_28,int64,0,0.0,56
m5_sales,d_29,int64,0,0.0,65
m5_sales,d_30,int64,0,0.0,71
m5_sales,d_31,int64,0,0.0,54
m5_sales,d_32,int64,0,0.0,60
m5_sales,d_33,int64,0,0.0,55
m5_sales,d_34,int64,0,0.0,61
m5_sales,d_35,int64,0,0.0,62
m5_sales,d_36,int64,0,0.0,73
m5_sales,d_37,int64,0,0.0,80
m5_sales,d_38,int64,0,0.0,60
m5_sales,d_39,int64,0,0.0,58
m5_sales,d_40,int64,0,0.0,58
m5_sales,d_41,int64,0,0.0,59
m5_sales,d_42,int64,0,0.0,63
m5_sales,d_43,int64,0,0.0,74
m5_sales,d_44,int64,0,0.0,71
m5_sales,d_45,int64,0,0.0,62
m5_sales,d_46,int64,0,0.0,65
m5_sales,d_47,int64,0,0.0,56
m5_sales,d_48,int64,0,0.0,61
m5_sales,d_49,int64,0,0.0,58
m5_sales,d_50,int64,0,0.0,71
m5_sales,d_51,int64,0,0.0,70
m5_sales,d_52,int64,0,0.0,59
m5_sales,d_53,int64,0,0.0,56
m5_sales,d_54,int64,0,0.0,55
m5_sales,d_55,int64,0,0.0,54
m5_sales,d_56,int64,0,0.0,60
m5_sales,d_57,int64,0,0.0,70
m5_sales,d_58,int64,0,0.0,64
m5_sales,d_59,int64,0,0.0,56
m5_sales,d_60,int64,0,0.0,49
m5_sales,d_61,int64,0,0.0,51
m5_sales,d_62,int64,0,0.0,60
m5_sales,d_63,int64,0,0.0,69
m5_sales,d_64,int64,0,0.0,72
m5_sales,d_65,int64,0,0.0,75
m5_sales,d_66,int64,0,0.0,66
m5_sales,d_67,int64,0,0.0,65
m5_sales,d_68,int64,0,0.0,62
m5_sales,d_69,int64,0,0.0,57
m5_sales,d_70,int64,0,0.0,58
m5_sales,d_71,int64,0,0.0,71
m5_sales,d_72,int64,0,0.0,74
m5_sales,d_73,int64,0,0.0,64
m5_sales,d_74,int64,0,0.0,61
m5_sales,d_75,int64,0,0.0,59
m5_sales,d_76,int64,0,0.0,58
