feature,importance_mean,importance_std
sell_price,2.8735176807133485,0.20295121513414563
item_id,2.75295442226539,0.20405134911715697
lag_28,1.5449124799818748,0.1260157031752637
day_of_week,0.9650582246481347,0.13198967495037459
snap_CA,0.0806098564236363,0.03886918664906058
week_of_year,0.058208641500273384,0.063870997611805
event_name_1,0.04244847893342039,0.024346437607718634
month,0.020388689239953538,0.0074421964959415264
cat_id,0.004128605496040194,0.008820884378647427
is_weekend,0.0,0.0
