item_id,predicted_28_day_demand,actual_28_day_demand,forecast_rmse,forecast_daily_demand,safety_stock_units,reorder_point_units,recommended_28_day_stock_units,dept_id,cat_id,total_revenue
FOODS_3_090,1591.2298013375641,1652,16.14,56.83,71.0,469.0,1663.0,FOODS_3,FOODS,175257.74
FOODS_3_586,1238.8880277899782,1155,7.73,44.25,34.0,344.0,1273.0,FOODS_3,FOODS,141530.58
FOODS_3_252,1095.9625833236003,1084,10.43,39.14,46.0,320.0,1142.0,FOODS_3,FOODS,115746.3
FOODS_3_587,767.2725626863783,639,10.66,27.4,47.0,239.0,815.0,FOODS_3,FOODS,132607.48
FOODS_3_714,661.3998325317202,537,7.86,23.62,35.0,201.0,697.0,FOODS_3,FOODS,82933.86
FOODS_3_555,525.063793553727,575,4.29,18.75,19.0,151.0,545.0,FOODS_3,FOODS,61281.68
FOODS_3_080,521.4482301011356,528,5.03,18.62,22.0,153.0,544.0,FOODS_3,FOODS,62934.340000000004
FOODS_2_197,498.27972700655164,614,8.2,17.8,36.0,161.0,535.0,FOODS_2,FOODS,133059.54
FOODS_3_099,462.73507643909454,410,6.22,16.53,28.0,144.0,491.0,FOODS_3,FOODS,83910.46
FOODS_2_019,405.82068999234104,392,4.99,14.49,22.0,124.0,428.0,FOODS_2,FOODS,114867.28
FOODS_3_202,382.96783564086707,446,5.46,13.68,24.0,120.0,407.0,FOODS_3,FOODS,136388.8
FOODS_2_276,311.4837474474393,231,4.96,11.12,22.0,100.0,334.0,FOODS_2,FOODS,85153.95999999999
FOODS_2_347,307.6621775030754,321,4.37,10.99,20.0,97.0,328.0,FOODS_2,FOODS,51103.73
FOODS_3_516,244.85367701996077,262,4.04,8.74,18.0,80.0,263.0,FOODS_3,FOODS,52132.06
FOODS_3_473,240.84688428112239,203,3.58,8.6,16.0,77.0,257.0,FOODS_3,FOODS,65399.12
FOODS_2_244,196.07470080005447,169,3.04,7.0,14.0,64.0,211.0,FOODS_2,FOODS,117365.84
FOODS_3_546,178.92888772196687,134,3.07,6.39,14.0,59.0,193.0,FOODS_3,FOODS,79052.20000000001
HOUSEHOLD_1_535,174.19159740911897,191,2.85,6.22,13.0,57.0,188.0,HOUSEHOLD_1,HOUSEHOLD,89801.48
HOBBIES_1_147,147.88574702626002,204,5.26,5.28,23.0,60.0,171.0,HOBBIES_1,HOBBIES,81765.14
HOUSEHOLD_1_494,101.13123806730518,95,1.7,3.61,8.0,34.0,110.0,HOUSEHOLD_1,HOUSEHOLD,52665.76
