item_id,dept_id,cat_id,total_units_sold,total_revenue,days_with_demand,revenue_share,cumulative_revenue_share,abc_class,demand_days,average_demand_interval,cv_squared,demand_pattern
FOODS_3_120,FOODS_3,FOODS,63107,314272.86000000004,1274,0.013691250972976883,0.013691250972976883,A,1274,1.5235478806907379,0.34974713103276717,Intermittent
FOODS_3_090,FOODS_3,FOODS,128855,175257.74,1472,0.0076350776942581975,0.02132632866723508,A,1472,1.3186141304347827,0.3272442901949572,Smooth
FOODS_3_586,FOODS_3,FOODS,88846,141530.58,1934,0.006165758924047664,0.027492087591282747,A,1934,1.0036194415718718,0.1233692882541813,Smooth
FOODS_3_202,FOODS_3,FOODS,31825,136388.8,1730,0.005941758033777238,0.03343384562505999,A,1730,1.1219653179190752,0.23306577409596438,Smooth
FOODS_2_197,FOODS_2,FOODS,41312,133059.54,1782,0.005796719311011636,0.039230564936071625,A,1782,1.0892255892255893,0.24433900162271763,Smooth
FOODS_3_587,FOODS_3,FOODS,52356,132607.48,1486,0.005777025383528226,0.045007590319599854,A,1486,1.3061911170928668,0.2443057325932726,Smooth
FOODS_2_244,FOODS_2,FOODS,20210,117365.84,1798,0.005113025576227769,0.05012061589582762,A,1798,1.0795328142380423,0.33268317068862513,Smooth
FOODS_3_252,FOODS_3,FOODS,76055,115746.3,1935,0.0050424705540703515,0.05516308644989797,A,1935,1.0031007751937984,0.22342939052896715,Smooth
FOODS_2_019,FOODS_2,FOODS,35716,114867.28,1779,0.005004176176915843,0.060167262626813815,A,1779,1.09106239460371,0.2404943061740521,Smooth
HOBBIES_1_236,HOBBIES_1,HOBBIES,7962,94395.20000000001,1339,0.004112313019470875,0.06427957564628468,A,1339,1.4495892457057507,0.468924652658408,Intermittent
FOODS_3_511,FOODS_3,FOODS,13514,90255.72,821,0.003931977181442677,0.06821155282772737,A,821,2.364190012180268,0.2641968688468098,Intermittent
HOUSEHOLD_1_535,HOUSEHOLD_1,HOUSEHOLD,12884,89801.48,1655,0.003912188282579552,0.07212374111030692,A,1655,1.172809667673716,0.3770494065479954,Smooth
FOODS_2_276,FOODS_2,FOODS,26772,85153.95999999999,1751,0.0037097197565925176,0.07583346086689943,A,1751,1.1085094231867505,0.374135750267522,Smooth
FOODS_3_099,FOODS_3,FOODS,33604,83910.46,1849,0.0036555468617873585,0.07948900772868679,A,1849,1.0497566252028123,0.15090573969943588,Smooth
FOODS_3_714,FOODS_3,FOODS,54617,82933.86,1934,0.0036130014262692888,0.08310200915495608,A,1934,1.0036194415718718,0.2608410201303171,Smooth
FOODS_3_785,FOODS_3,FOODS,26211,81895.3,1686,0.0035677567124543738,0.08666976586741046,A,1686,1.1512455516014235,2.5595576347158673,Erratic
HOBBIES_1_147,HOBBIES_1,HOBBIES,8173,81765.14,1550,0.003562086311177462,0.09023185217858792,A,1550,1.252258064516129,0.457270573099081,Smooth
FOODS_3_574,FOODS_3,FOODS,13292,79515.16,1672,0.0034640662630441984,0.09369591844163212,A,1672,1.1608851674641147,0.5844019449686817,Erratic
FOODS_3_546,FOODS_3,FOODS,13215,79052.20000000001,1736,0.003443897478662215,0.09713981592029433,A,1736,1.1180875576036866,0.45665976551257553,Smooth
HOBBIES_1_354,HOBBIES_1,HOBBIES,3444,78843.12,533,0.0034347889391802174,0.10057460485947455,A,533,3.641651031894934,0.2652853434606923,Intermittent
HOUSEHOLD_1_032,HOUSEHOLD_1,HOUSEHOLD,7003,75152.38,1328,0.0032740023933232046,0.10384860725279775,A,1328,1.4615963855421688,0.4758022455306798,Intermittent
FOODS_3_282,FOODS_3,FOODS,29891,74834.42,990,0.0032601505126378418,0.10710875776543559,A,990,1.9606060606060607,0.2809741555707581,Intermittent
FOODS_3_444,FOODS_3,FOODS,10755,70846.40000000001,604,0.0030864130072571633,0.11019517077269275,A,604,3.2135761589403975,0.20939599285144578,Intermittent
FOODS_3_476,FOODS_3,FOODS,11634,69599.32,1661,0.0030320841502779767,0.11322725492297073,A,1661,1.168573148705599,0.5573440771067039,Erratic
FOODS_3_702,FOODS_3,FOODS,22177,66246.56,1836,0.0028860216534649904,0.11611327657643572,A,1836,1.0571895424836601,0.7250284795767669,Erratic
FOODS_3_473,FOODS_3,FOODS,16984,65399.12,1880,0.0028491030543707527,0.11896237963080647,A,1880,1.0324468085106382,0.29055804404137797,Smooth
