item_id,actual_28_day_demand,predicted_28_day_demand,absolute_error_units,wape_percent,bias_percent
HOBBIES_1_147,204.0,147.88574702626002,111.45245404785038,54.63,-27.51
FOODS_2_276,231.0,311.48374744743927,117.16271482560475,50.72,34.84
FOODS_3_546,134.0,178.92888772196684,67.22689411089104,50.17,33.53
FOODS_3_473,203.0,240.8468842811224,85.28315428782287,42.01,18.64
HOUSEHOLD_1_494,95.0,101.13123806730518,39.69877879164028,41.79,6.45
FOODS_3_587,639.0,767.2725626863783,264.6714743485786,41.42,20.07
FOODS_2_244,169.0,196.07470080005447,65.68372602952739,38.87,16.02
FOODS_3_516,262.0,244.85367701996074,91.96365626728078,35.1,-6.54
FOODS_3_714,537.0,661.3998325317201,186.56672597168867,34.74,23.17
FOODS_3_099,410.0,462.7350764390946,136.35090203565116,33.26,12.86
FOODS_2_347,321.0,307.66217750307544,93.6672105190672,29.18,-4.16
FOODS_2_197,614.0,498.27972700655164,171.3267299455908,27.9,-18.85
HOUSEHOLD_1_535,191.0,174.19159740911897,53.14217871564203,27.82,-8.8
FOODS_2_019,392.0,405.82068999234104,105.5298523370386,26.92,3.53
FOODS_3_202,446.0,382.9678356408671,104.44919133571145,23.42,-14.13
FOODS_3_090,1652.0,1591.229801337564,360.14473058797114,21.8,-3.68
FOODS_3_252,1084.0,1095.9625833236003,224.73316949946263,20.73,1.1
FOODS_3_080,528.0,521.4482301011356,98.18929950984884,18.6,-1.24
FOODS_3_555,575.0,525.0637935537271,88.45553043124717,15.38,-8.68
FOODS_3_586,1155.0,1238.8880277899782,160.50921209456382,13.9,7.26
