order_region,total_sales,total_orders,late_delivery_rate,average_shipping_delay
Central Africa,292912.56316194,556,57.96,0.6398330351818724
South Asia,1397364.573373674,3335,56.27,0.5974647522959514
East Africa,338054.313892092,613,55.94,0.5707343412526998
Western Europe,5296002.889842288,10010,55.85,0.5974030764690693
South of  USA ,706904.33791426,1345,55.77,0.5799752781211372
East of USA,1231955.133896532,2323,55.66,0.5848156182212582
Eastern Europe,696307.18776181,1292,55.66,0.5798469387755102
Southeast Asia,1738553.436150082,4356,55.53,0.5582346157878184
Central Asia,97953.69091415,184,55.33,0.6455696202531646
West Asia,1056080.992174737,2022,55.28,0.5694791146613413
US Center ,1034129.431505088,1935,55.24,0.5872260913878037
Central America,5093849.716162856,9396,54.75,0.5619420627359656
North Africa,572241.966337082,1064,54.52,0.5522896039603961
Southern Europe,1837525.817012941,3543,54.38,0.5156399109320327
Eastern Asia,1334313.412654495,3318,54.33,0.5664835164835165
South America,2660243.6894643568,4979,54.31,0.5563441580180783
Northern Europe,1939362.427052712,3716,54.04,0.546875
Oceania,1809996.5475716349,4362,54.02,0.556267244777296
West of USA ,1412253.596013535,2667,53.96,0.5572375828850245
Southern Africa,204302.52221758998,398,53.33,0.4788245462402766
Caribbean,1481668.686214007,2806,53.08,0.5465256071170954
West Africa,654168.027241702,1223,52.84,0.5505952380952381
Canada,168257.42168705,309,48.8,0.3910323253388947
