order_region,shipment_records,late_shipment_records,total_sales,total_profit,average_shipping_delay,late_delivery_rate
Central America,28341,15518,5093849.716162856,616341.570650805,0.5619420627359656,54.75
Western Europe,27109,15140,5296002.889842288,625446.080547806,0.5974030764690693,55.85
South America,14935,8111,2660243.6894643568,335154.400817116,0.5563441580180783,54.31
Oceania,10148,5482,1809996.5475716349,201478.02048424399,0.556267244777296,54.02
Southeast Asia,9539,5297,1738553.436150082,211342.81978621898,0.5582346157878184,55.53
Northern Europe,9792,5292,1939362.427052712,233450.600646958,0.546875,54.04
Southern Europe,9431,5129,1837525.817012941,230829.229882964,0.5156399109320327,54.38
Caribbean,8318,4415,1481668.686214007,171825.640023621,0.5465256071170954,53.08
South Asia,7731,4350,1397364.573373674,165703.900123919,0.5974647522959514,56.27
West of USA ,7993,4313,1412253.596013535,164940.660455197,0.5572375828850245,53.96
Eastern Asia,7280,3955,1334313.412654495,147368.010614273,0.5664835164835165,54.33
East of USA,6915,3849,1231955.133896532,156263.300193871,0.5848156182212582,55.66
West Asia,6009,3322,1056080.992174737,118815.410047009,0.5694791146613413,55.28
US Center ,5887,3252,1034129.431505088,131094.229874934,0.5872260913878037,55.24
South of  USA ,4045,2256,706904.33791426,88114.879897506,0.5799752781211372,55.77
Eastern Europe,3920,2182,696307.18776181,79717.049920179,0.5798469387755102,55.66
West Africa,3696,1953,654168.027241702,80030.270030946,0.5505952380952381,52.84
North Africa,3232,1762,572241.966337082,64599.860008929,0.5522896039603961,54.52
East Africa,1852,1036,338054.313892092,43167.72992689,0.5707343412526998,55.94
Central Africa,1677,972,292912.56316194,33447.269959689,0.6398330351818724,57.96
Southern Africa,1157,617,204302.52221758998,30826.050145997,0.4788245462402766,53.33
Canada,959,468,168257.42168705,23900.70995985,0.3910323253388947,48.8
Central Asia,553,306,97953.69091415,13045.280051435,0.6455696202531646,55.33
