item_id,actual_units,predicted_units,wape_percent
HOBBIES_1_147,204,219.0,70.09803921568627
FOODS_2_276,231,324.0,66.23376623376623
FOODS_3_546,134,150.0,52.23880597014925
FOODS_3_099,410,404.0,52.19512195121951
FOODS_2_347,321,275.0,50.467289719626166
FOODS_3_473,203,228.0,47.783251231527096
FOODS_2_244,169,158.0,45.562130177514796
FOODS_3_516,262,259.0,44.656488549618324
HOUSEHOLD_1_535,191,228.0,44.50261780104712
HOUSEHOLD_1_494,95,104.0,43.15789473684211
FOODS_3_587,639,643.0,42.87949921752739
FOODS_2_019,392,459.0,41.07142857142857
FOODS_2_197,614,559.0,36.31921824104234
FOODS_3_090,1652,1423.0,31.779661016949152
FOODS_3_202,446,452.0,28.699551569506728
FOODS_3_714,537,525.0,28.677839851024206
FOODS_3_252,1084,1051.0,27.398523985239855
FOODS_3_080,528,519.0,25.189393939393938
FOODS_3_555,575,536.0,19.304347826086957
FOODS_3_586,1155,1075.0,18.181818181818183
